date,open,high,low,close,volume
2020-09-18 04:45:00,5.193,5.241,5.122,5.136,1752.853
2020-09-18 04:50:00,5.136,5.209,5.125,5.192,19640.2406
2020-09-18 04:55:00,5.192,5.193,5.142,5.185,3529.8191
2020-09-18 05:00:00,5.185,5.257,5.178,5.216,4131.0981
2020-09-18 05:05:00,5.216,5.3,5.161,5.3,33939.5987
2020-09-18 05:10:00,5.3,5.3,5.19,5.2,8136.5146
2020-09-18 05:15:00,5.2,5.245,5.2,5.226,270.0406
2020-09-18 05:20:00,5.226,5.24,5.05,5.126,3803.257
2020-09-18 05:25:00,5.126,5.143,5.024,5.045,5228.9254
2020-09-18 05:30:00,5.048,5.076,4.961,5.024,5498.2142
2020-09-18 05:35:00,5.024,5.1,5.024,5.1,946.6854
2020-09-18 05:40:00,5.1,5.1,4.978,4.986,3093.9636
2020-09-18 05:45:00,4.986,4.988,4.908,4.95,2229.765
2020-09-18 05:50:00,4.95,4.968,4.849,4.876,2982.8604
2020-09-18 05:55:00,4.876,5.053,4.734,4.821,20410.178
2020-09-18 06:00:00,4.821,4.923,4.821,4.902,6739.5666
2020-09-18 06:05:00,4.902,4.96,4.902,4.942,8232.6353
2020-09-18 06:10:00,4.942,4.942,4.871,4.914,1195.8313
2020-09-18 06:15:00,4.914,4.914,4.848,4.913,6218.9778
2020-09-18 06:20:00,4.913,5.005,4.889,5.005,49.7635
2020-09-18 06:25:00,5.005,5.049,4.976,5.012,218.3322
2020-09-18 06:30:00,5.012,5.012,4.942,4.989,10389.9084
2020-09-18 06:35:00,4.989,5.051,4.97,5.034,3683.7867
2020-09-18 06:40:00,5.034,5.128,4.984,5.108,2366.4718
2020-09-18 06:45:00,5.108,5.181,5.086,5.16,867.1323
2020-09-18 06:50:00,5.16,5.181,5.12,5.12,9089.6106
2020-09-18 06:55:00,5.12,5.18,5.079,5.151,18452.6527
2020-09-18 07:00:00,5.151,5.419,5.133,5.257,55805.5304
2020-09-18 07:05:00,5.257,5.258,5.203,5.225,494.7773
2020-09-18 07:10:00,5.225,5.365,5.225,5.341,1365.2617
2020-09-18 07:15:00,5.341,5.374,5.238,5.262,1514.5415
2020-09-18 07:20:00,5.262,5.279,5.171,5.197,1136.7335
2020-09-18 07:25:00,5.197,5.3,5.171,5.3,632.5748
2020-09-18 07:30:00,5.3,5.456,5.296,5.454,6515.8991
2020-09-18 07:35:00,5.454,5.539,5.402,5.523,31112.4185
2020-09-18 07:40:00,5.523,5.699,5.503,5.666,9528.8941
2020-09-18 07:45:00,5.666,5.67,5.462,5.52,2144.8227
2020-09-18 07:50:00,5.52,5.52,5.388,5.459,5223.8545
2020-09-18 07:55:00,5.459,5.492,5.375,5.492,3720.7492
2020-09-18 08:00:00,5.492,5.559,5.427,5.552,7748.3902
2020-09-18 08:05:00,5.552,5.604,5.425,5.439,4559.3128
2020-09-18 08:10:00,5.439,5.465,5.359,5.449,1091.1095
2020-09-18 08:15:00,5.449,5.54,5.359,5.421,4237.5371
2020-09-18 08:20:00,5.421,5.547,5.416,5.416,2090.2795
2020-09-18 08:25:00,5.416,5.416,5.139,5.355,18021.4603
2020-09-18 08:30:00,5.355,5.418,5.05,5.349,11150.5881
2020-09-18 08:35:00,5.349,5.544,5.349,5.542,12120.9412
2020-09-18 08:40:00,5.542,5.596,5.429,5.518,14134.5629
2020-09-18 08:45:00,5.518,5.798,5.509,5.724,10512.0694
2020-09-18 08:50:00,5.724,5.85,5.691,5.85,5708.7206
2020-09-18 08:55:00,5.85,5.989,5.789,5.866,9168.2874
2020-09-18 09:00:00,5.866,5.938,5.715,5.895,7703.6307
2020-09-18 09:05:00,5.895,6.22,5.895,6.12,15946.3659
2020-09-18 09:10:00,6.12,6.322,6.12,6.237,4172.5428
2020-09-18 09:15:00,6.236,6.332,6.174,6.216,12333.31
2020-09-18 09:20:00,6.216,6.65,6.216,6.647,52972.0764
2020-09-18 09:25:00,6.647,6.817,6.233,6.336,98536.6419
2020-09-18 09:30:00,6.336,6.394,6.0,6.182,16432.668
2020-09-18 09:35:00,6.182,6.224,6.141,6.175,6565.1954
2020-09-18 09:40:00,6.175,6.175,6.03,6.149,66926.0152
2020-09-18 09:45:00,6.149,6.4,6.149,6.348,6770.6131
2020-09-18 09:50:00,6.348,6.435,6.321,6.367,9794.8525
2020-09-18 09:55:00,6.367,6.38,6.184,6.379,5245.2667
2020-09-18 10:00:00,6.379,6.552,6.323,6.356,29895.3966
2020-09-18 10:05:00,6.356,6.563,6.355,6.526,12116.7611
2020-09-18 10:10:00,6.526,6.536,6.386,6.457,12031.7668
2020-09-18 10:15:00,6.457,6.457,6.253,6.376,3943.197
2020-09-18 10:20:00,6.376,6.376,6.185,6.257,5142.5848
2020-09-18 10:25:00,6.257,6.348,6.18,6.3,8104.1328
2020-09-18 10:30:00,6.3,6.499,6.3,6.366,4751.6561
2020-09-18 10:35:00,6.366,6.511,6.366,6.486,4801.0134
2020-09-18 10:40:00,6.486,6.49,6.389,6.4,7832.9134
2020-09-18 10:45:00,6.4,6.739,6.4,6.739,19695.8046
2020-09-18 10:50:00,6.739,6.996,6.642,6.813,22353.1902
2020-09-18 10:55:00,6.813,7.099,6.751,7.054,23493.7594
2020-09-18 11:00:00,7.054,7.13,6.873,6.906,20146.6175
2020-09-18 11:05:00,6.906,7.052,6.8,6.867,7849.5544
2020-09-18 11:10:00,6.867,7.02,6.842,6.919,9184.6821
2020-09-18 11:15:00,6.919,7.137,6.901,7.119,10309.478
2020-09-18 11:20:00,7.119,7.363,7.119,7.235,23890.2418
2020-09-18 11:25:00,7.235,7.464,7.199,7.301,4848.8941
2020-09-18 11:30:00,7.301,7.358,7.06,7.165,11038.7278
2020-09-18 11:35:00,7.165,7.43,7.162,7.385,16881.6987
2020-09-18 11:40:00,7.385,7.589,7.37,7.492,29672.2345
2020-09-18 11:45:00,7.492,7.885,7.492,7.881,31060.5228
2020-09-18 11:50:00,7.88,7.979,7.503,7.899,10580.6005
